target_name,target_type,mse,mae,r2,pearson_r
pathway__GBM_high_protein_coding__Epithelial_Mesenchymal_Transition,pathway,0.25972604547269135,0.39118655537861846,0.6080279045571022,0.7810246281463462
pathway__GBM_high_protein_coding__Cell_Cycle_R_HSA_1640170,pathway,0.3302608259522606,0.45748933902533023,0.5536861081853202,0.7477549637918077
pathway__GBM_high_protein_coding__M_Phase_R_HSA_68886,pathway,0.29767395322223533,0.4312728023113569,0.591559420296394,0.7750666501334559
pathway__GBM_high_protein_coding__Cell_Cycle_Checkpoints_R_HSA_69620,pathway,0.3500539373406252,0.46960906329208174,0.5397179376864962,0.7380712985349328
pathway__GBM_high_protein_coding__Deposition_Of_New_CENPA_containing_Nucleosomes_At_Centromere,pathway,0.2900579344814601,0.40957063538112354,0.6271567094789826,0.8069205922869159
pathway__GBM_high_protein_coding__RNA_Polymerase_I_Promoter_Opening_R_HSA_73728,pathway,0.3836307367426832,0.4529634950361256,0.5930479364705661,0.7908368317682368
pathway__GBM_high_protein_coding__DNA_Methylation_R_HSA_5334118,pathway,0.3836307367426832,0.4529634950361256,0.5930479364705661,0.7908368317682368
pathway__GBM_high_protein_coding__HDACs_Deacetylate_Histones_R_HSA_3214815,pathway,0.3904635834091073,0.4560771071123639,0.5909752045399577,0.7897123244637562
pathway__GBM_high_protein_coding__DNA_Damage_Telomere_Stress_Induced_Senescence_R_HSA_2559586,pathway,0.35541775534477205,0.43598051456637854,0.6054808677318623,0.7972237424811474
pathway__GBM_high_protein_coding__Viral_carcinogenesis,pathway,0.32111497665713984,0.4120292206912159,0.6205627248170393,0.8065270608619353
pathway__Morphology_linked_protein_codi__Cell_Cycle_Mitotic_R_HSA_69278,pathway,0.2638473463360244,0.41038870861809906,0.548933396556538,0.7445615631663828
pathway__Morphology_linked_protein_codi__RNA_Polymerase_I_Promoter_Opening_R_HSA_73728,pathway,0.3198857608743628,0.4054373224236944,0.5959135528184143,0.7942314875253864
